iter	Passed	Remaining
231	1004	3323
232	1008	3319
233	1012	3314
234	1016	3309
235	1020	3304
236	1024	3299
237	1029	3294
238	1033	3289
239	1037	3285
240	1041	3281
241	1046	3276
242	1050	3271
243	1054	3266
244	1058	3261
245	1062	3256
246	1066	3251
247	1070	3246
248	1074	3241
249	1079	3237
250	1083	3232
251	1087	3227
252	1091	3222
253	1095	3217
254	1099	3212
255	1103	3208
256	1108	3203
257	1112	3198
258	1116	3193
259	1120	3188
260	1124	3183
261	1128	3178
262	1132	3174
263	1136	3169
264	1141	3164
265	1145	3160
266	1149	3155
267	1153	3151
268	1158	3148
269	1162	3144
270	1166	3138
271	1171	3134
272	1175	3129
273	1179	3124
274	1183	3119
275	1187	3114
276	1191	3110
277	1195	3105
278	1199	3100
279	1204	3096
280	1208	3091
281	1212	3086
282	1216	3082
283	1220	3077
284	1224	3072
285	1228	3067
286	1232	3062
287	1236	3057
288	1241	3053
289	1245	3048
290	1249	3044
291	1253	3039
292	1257	3034
293	1261	3030
294	1266	3025
295	1270	3020
296	1274	3016
297	1278	3011
298	1282	3006
299	1286	3001
300	1290	2997
301	1295	2993
302	1299	2988
303	1303	2984
304	1307	2979
305	1311	2975
306	1315	2970
307	1320	2965
308	1324	2961
309	1328	2957
310	1332	2952
311	1336	2948
312	1341	2943
313	1345	2938
314	1349	2934
315	1353	2929
316	1357	2925
317	1361	2920
318	1365	2916
319	1370	2911
320	1374	2906
321	1378	2902
322	1382	2898
323	1386	2893
324	1391	2889
325	1395	2884
326	1399	2880
327	1403	2875
328	1407	2871
329	1412	2866
330	1416	2862
331	1420	2857
332	1424	2853
333	1428	2848
334	1432	2844
335	1436	2839
336	1441	2835
337	1445	2830
338	1449	2826
339	1453	2821
340	1457	2816
341	1461	2811
342	1465	2807
343	1469	2802
344	1473	2798
345	1477	2793
346	1482	2789
347	1486	2784
348	1490	2780
349	1494	2775
350	1498	2771
351	1502	2766
352	1506	2761
353	1511	2757
354	1515	2752
355	1519	2748
356	1523	2743
357	1527	2739
358	1531	2734
359	1535	2730
360	1540	2726
361	1544	2721
362	1548	2717
363	1552	2712
364	1556	2708
365	1561	2704
366	1565	2699
367	1569	2695
368	1573	2690
369	1577	2686
370	1581	2681
371	1586	2677
372	1590	2673
373	1594	2668
374	1598	2664
375	1602	2659
376	1607	2655
377	1611	2651
378	1615	2646
379	1619	2642
380	1623	2638
381	1627	2633
382	1631	2629
383	1636	2624
384	1640	2620
385	1644	2616
386	1648	2611
387	1652	2607
388	1656	2602
389	1661	2598
390	1665	2593
391	1669	2589
392	1673	2585
393	1677	2580
394	1682	2576
395	1686	2572
396	1690	2567
397	1695	2564
398	1699	2559
399	1703	2555
400	1707	2551
401	1712	2547
402	1716	2542
403	1720	2537
404	1724	2533
405	1728	2528
406	1732	2524
407	1736	2519
408	1740	2515
409	1744	2510
410	1748	2506
411	1753	2501
412	1757	2497
413	1761	2493
414	1765	2488
415	1769	2484
416	1773	2479
417	1777	2475
418	1782	2471
419	1786	2466
420	1790	2462
421	1794	2458
422	1799	2454
423	1803	2449
424	1807	2445
425	1811	2440
426	1815	2435
